 S1, T:The Salvation Hunters, s a, \Und, R:child, T:The Salvation Hunters, D:Sternberg, PN:, SU:, bws, Ctxx, aw, lc, 
 ChW3, T:Easter Parade, Jules Munshin, \Und, RU:, T:Easter Parade, D:Walters, P:Freed, St:MGM, \Tcol, Musc, H**, ," M(Roger Edens, Johnny Green; AA) "
 NoT10, TZ:Apple Dumpling Gang, Harry Morgan, \Und," R:stage owner, drunk", Tm:Apple Dumpling Gang, D:Tokar, PN:Bill Anderson, St:Disney, \Tcol," West,Romt", H," Quake City, CA", R(G) Seen(3Nov1990) 
 NeJ14, T:Mona Lisa, Robbie Coltrane, \Und, RZ:tough, T:Mona Lisa, D:N.Jordan, PU:, SU:, \Tcol, Dram, aw," London, England; Brighton, England", W(Leland) 
 StD61, T:Bedazzled, Peter Cook, \Und," R:buys cook's soul ""Satan""", T:Bedazzled, D:Donen, P:Donen, St:Fox, \DeLuxe, Comd," F83, H*", ," R(R,PG) "
 REn32, T:Slim, Jane Wyman, \Und, RU:, T:Slim, D:Enright, P:wallis, St:Warners, , Romt 
 GC22, T:Two-Faced Woman, George Cleveland, \Und, RU:, T:A Woman's Face, D:Cukor, P:V.Saville, St:MGM, bnw, Dram, H**, lc, 
 JL10, T:The Errand Boy, Iris Adrian, \Und, RU:, Tm:The Errand Boy, D:J.Lewis, P:J.Lewis, St:Paramount, bnw, Comd, h, lc, 
 MN20, T:Postcards from the Edge, Dana Ivey, \Und, RU:, T:Postcards from the Edge, D:M.Nichols, PN:, SU:, col, Dram, aw, lc, R(R) W(Carrie Fisher) Inc(40M) 
 FRa10, T:The Assault, John Kraaykamp, \Und, RU:, T:The Assault, D:Rademakers, PN:Rademakers," St:, SD:MGM", col, Dram, AAfor, Holland; T(1945) Lang(Dutch)
 DHa7, T:Mr. Imperium, Debbie Reynolds, \Und, RU:,"|
", \Und, RU:, T:Mr. Imperium, D:Hartman, PN:Edwin H. Knopf, S:MGM, \Tcol, Musc, H," Hollywood, CA"," W(Edwin H. Knopf. Hartman) M(Harold Arlen, Bronislau Kaper)"
 FZe23, T:Tea with Mussolini, Baird Wallace, \Und, RU:, T:Tea with Mussolini, D:Zefferelli, PU:, SU:, prc," Hist, romt", ," Italy, T(1940)", 
 VdS4, T:Sciusci\`a, Rinaldo Smordoni, \Und," R:shoeshine boy, black markteer", T:Sciusci\`a, D:deSica, PN:Paolo W. Tamburella, SL:Italy, bnw, Dram," AA for, H**"," Rome, Italy; T(1944)"," W(Cesare Zavattini, Sergio Amadei, Adolphe Franci, C.G. Viola; AAN) "
 Z9365, T:Silent Cries, Gena Rowlands, \Und, RU:, T:Silent Cries, D:UnYear93, PU:, SU:, TV, Ctxx, , lc, 
 GiP10, T:The Battle of Algiers, Tommaso Neri, \Und, R:officer, T:The Battle of Algiers, D:Pontocorvo, PN:Antonio Musu," St:Rizzoli, Allied Artists", bnw, , Z* 
 DS38, T:Rough Cut, Joss Ackland, \Und, RU:, Tm:Rough Cut, D:D.Siegel, PN:David Merrick, St:Paramount, \Mlab, Comd, H, England, R(PG) 
 LMa18, T:Souffle au Coeur, Daniel Gelin, \Und, R:impatient doctor father, T:Souffle au Coeur, D:Malle, PN:, SU:, , Romt, ," spa, France", W(Malle; AA) Nt(re-released 1989) Alt(T:Murmur of the Heart; USA)
 GC19, T:The Women, Hedda Hopper, \Und, RU:, T:The Women, D:Cukor, PN:Hunt Stromberg, St:MGM," bnw,\Tcol", Dram, H***," NYC,NY"," W(Anita Loos, Jane Murfin) B(Clare Booth Luce) Note(No male parts) "
 GMx3, T:Meatballs part III, John Hawkins, \Und, RU:, T:Meatballs part III, D:Mendelux, PN:Andre Link, SU:, prc, Ctxx, aw, lc, M(Paul Zasa) 
 RgW10, T:Road Scholar, Andrei Codrescu, \Und, RU:, T:Road Scholar, D:Weisberg, PN:, SU:, prc, Ctxx, aw, West, 
 FZ17, TZ:Behold a Pale Horse, Omar Sharif, \Und, RU:, T:Behold a Pale Horse, D:Zinnemann, PN:, SU:, prc, Ctxx, aw, lc, R(NR) W(J.P. Miller) 
 JS1, T:Cocoanuts, Oscar Shaw, \Und, R:singing lover, T:Cocoanuts, D:Santley, PN:, St:Paramount SL:Astoria L.I., bnw, Comd, , csd. FL, CoD(Florey) Nt(first Marx bros feature) M(Irving Berlin) 
 RWg10, T:Indochine, Thibault deMontalbert, \Und, RU:, T:Indochine, D:Wargnier," PN:Eric Heurant, Jeanne Adadre", SU:," Dram, Romt", col, AA, Vietnam; T(1950), Lang(\Fr) R(PG13) Seen(6Apr1993) 
 CD11, TZ:Luv, Eddie Mayehoff, \Und, RU:, Tm:Luv, D:C.Donner, PN:, SU:, prc, Ctxx, aw, lc, W(Elliott Baker) B(Murray Schisgal) 
 MS5, TZ:Taxi Driver, Leonard Harris, \Und, RU:, T:Taxi Driver, D:Scorsese," PN:Michael Phillips, Julia Phillips", St:Columbia, col, Dram, Z*," NYC, NY", M(Herrmann) R(R) W(Schrader) Seen(1976)? 
 ARG2, T:Trans-Europe Express, Henri Lambert, \Und, RU:, T:Trans-Europe Express, D:RobbeGrillet, PN:, SU:, , Susp, ," train, France", W(RobbeGrillet) 
 NML31, T:Casanova's Big Night, Lon Chaney~jr., \Und, RU:, T:Casanova's Big Night, D:McLeod, PN:Paul Jones, St:Paramount, \Tcol, Comd, H, Italy, Alt(T:Casanova's Night Out)
 CTB10, T:Abbott and Costello Meet Frankenstein, Charles T. Bradstreet, \Und, RU:, T:Abbott and Costello Meet Frankenstein, D:Barton, P:Robert~Arthur, St:Universal, bnw, Comd," F23, H**,CG***", lc," W(John Grant, al.) "
 AVL7, T:Shenandoah, James Stewart, \Und, R:crusty widower, T:Shenandoah, D:McLaglen, PN:, SU:, prc, Dram, aw," csd, VA; T(1850)", 
 WvD49, T:Forsaking All Others, Billie Burke, \Und, RU:, T:Forsaking All Others, D:VanDyke, PN:, SU:, prc," Comd,Romt", , lc, W(J.Mankiewicz) 
 C112, T:The Adventures of Robin Hood, Howard Hill, \Und, R:captain of the archers, T:The Adventures of Robin Hood, D:Curtiz, P:Wallis, St:Warners, \Tcol, Advt," H****, AAN"," csd, England", M(Erich Wolfgang Korngold; AA) V(Carl Jules Weyl; AA) CoD(Keighly) 
 Z9890, T:Playing by Heart, Gillian Anderson, \Und, R:, T:Playing by Heart, D:UnYear98, PU:, S:Miramax, prc, Ctxx, ," L.A., CA",Er(1999)  Alt(T:Dancing about Architecture; Org)
 H11, T:Easy Virtue, Benita Hume, \Und, R:eavesdropping switchboard operator, T:Easy Virtue, D:Hitchcock, P:Balcon," St:Gainsborough, SD:Wardour", sbw, Susp, , , B(Noel Coward) W(Eliot Stannard) C(Claude McDonnell) 
 MBe10, T:Devil in the Flesh, Federico Pizalis, \Und, R:seduced student, T:Devil in the Flesh, D:Bellocchio, PN:, SU:, ," Dram,Porn", , , R(X) B(Raymond Radiguet) Lang(\It) 
 BGi10, T:Profit-Sharing Plan, Ruth Storey, \Und," R:unhappy wife, sabotages flight", T:Profit-Sharing Plan, D:B.Girard," P:Hitchcock, J.Harrison"," St:Shamley, NBC"," bnw,TV", Susp, , lc," TV(13Mar1962) Le(30m) W(B(Richard Levinson, William Link)) "
 IPK10, T:The Locusts, Ashley Judd, \Und, RU:, T:The Locusts, D:Kelley, PU:, SU:, prc, Dram, ," farm, KA; T(1960)", 
 BB11, T:The Last Emperor, Vivian Wu, \Und," R:second wife ""Wen Xiou""", T:The Last Emperor, D:Bertolucci, PN:Jeremy Thomas, SU:, col, BioP," AA, T90, AA dir"," Bejing, China; Manchuria", Seen(Dec1987) C(Ferdinando Scarfiotti) 
 SRf10, T:Adventures of the Wilderness Family, Hollye Holmes, \Und, RU:, T:Adventures of the Wilderness Family, D:Raffill, PN:, SU:, prc, Advt, aw, lc, R(G) 
 JSv10, T:Elementary School, Jan Triska, \Und, R:braggard teacher, T:Elementary School, D:Sverak, PN:, SU:, prc, UnDr, aw," village, \Cz; T(1945)", 
 RWB42, T:The One that got Away, Alec McGowen, \Und, RU:, T:The One that got Away, D:R.W.Baker, PN:Julian Wintle, St:Rank, bnw, BioP, H**," prisoner-of-war camps, \GB", W(Howard Clewes) 
 RSt101, T:Our Cook's a Treasure, Beulah Bondi, \Sus," R:new cook, murder suspect", T:Our Cook's a Treasure, D:R.Stevens, P:Hitchcock," St:Shamley,CBS"," bnw,TV", Susp, , , TV(20Nov1955) Le(30m) B(Dorothy L. Sayers) 
 HCs3, T:Genevieve, Kay Kendall, \Und, R:entrancing trumpet player, T:Genevieve, D:Cornelius, PN:, SU:, prc, Comd, aw," roads, London, England; Brighton, England", 
 AVa12, T:Jaquot de Nantes, Jaques Demy, \Und," R:director ""Jaques Demy""", T:Jaquot de Nantes, D:Varda, PN:, SU:, prc, BioP, aw," Nantes, France", Er(1991)
 DCr25, T:Naked Lunch, s a, \Und," R:friend ""Paul Bowles""", T:Naked Lunch, D:Cronenberg, PN:, St:Fox, col, Fant, , USA, R(R) B(William S. Burroughs) 
 WaW10, T:The Joy Luck Club, Russell Wong, \Und, R:dancer's boyfriend. nerd, T:The Joy Luck Club, D:Wang, P:Ol.Stone," St:Hollywood, Columbia", col, Dram, aw," S.F., CA; China"," B(Amy Tan) W(Amy Tan, Ronald Bass) "
 ThB30, T:The Old Curiosity Shop, Mabel Poulton, \Inn," R:grandchild ""Nell""", T:The Old Curiosity Shop, D:Bentley, PN:, SU:, bws, Dram, aw, lc, B(Dickens) 
 GvS2, T:Drugstore Cowboy, William S.L. Burroughs, \Cam," R:cameo, defrocked priest", T:Drugstore Cowboy, D:vanSant," P:Nick Wechsler, Karen Murphy", SU:, col, Ctxx, aw, ," W(vanSant,Dan Yost) Er(William S.L. Burroughs B?) R(R) "
 MSt30, T:Erotikon, Anders deWahl, \Und, RU:, T:Erotikon, D:M.Stiller, PN:, St:Svensk Film Industri, bws," Comd, Dram", H*, Sweden 
 KRu25, T:Rainbow, David Hemmings, \Und, RU:, T:Rainbow, D:K.Russell, P:K.Russell," St:Vestron, Swank", col, Dram, (RE***), lc," W(K.Russell, Vivian Russell) B(D.H. Lawrence) "
 NT110, T:Living it Up, s a, \Und, RZ:sympathetic waiter, T:Living it Up, D:Taurog, P:Wallis, St:Paramount, \Tcol, Comd, H*," newspaper office, USA", 
 ToG6, T:The Hawaiians, Keye Luke, \Und, RU:, T:The Hawaiians, D:Gries, PN:Walter Mirisch, St:U.A., \DeLuxe, Dram, H, HA, W(J.R.Webb) B(Michener) 
 H30, T:Young and Innocent, Alfred Hitchcock, \Cam, R:fumbling press photographer, T:Young and Innocent, D:Hitchcock, P:Black," St:Lime Grove and Pinewood, SD:G.F.D.", bnw, Susp, , ," B(Josephine Tey) C(Bernard Knowles) W(Charles Bennett, Alma Reveille) Alt(T:The Girl Was Young; USA)"
 RuJ8, T:The Cat Creeps, Elizabeth Petterson, \Und, R:aunt Susan, T:The Cat Creeps, D:Julian, P:Laemle~jr, St:Universal, bnw, Horr, 
 RFr25, T:FX2, Diana Venora, \Und, R:killed, T:FX2, D:R.Franklin, PN:, SU:, prc, Advt, , ," ER(y,D) "
 AbF25, T:Bad Luitenant, Frankie Thorn, \Und, R:raped nun, T:Bad Luitenant, D:Ferrara, PN:, SU:, col, CnR, ," NYC,NY"," W(Ferrara, Zoe Lund) R(NC17) "
 LOl2, T:Hamlet, Anthony Quayle, \Und," RN:""Marcellus""", T:Hamlet, D:L.Olivier, PN:, St:L.Olivier, bnw, Dram, AA," castle, Denmark", B(Shakespeare) Er(1948)
 MDK10, T:La Sir\`ene des Tropiques, Josephine Baker, \Und, R:sexy, , , Nt(debut), T:La Sir\`ene des Tropiques, D:DeKobra, PN:, SL:\Fr, prc, Ctxx, aw, lc, 
 PCr8, T:The Hound of the Baskervilles, Anthony Zerbe, \Und, RU:, T:The Hound of the Baskervilles, D:Crane, PN:Stanley Kallis, St:TV, TV, Susp, aw, lc, 
 RSp24, T:Tomorrow Never Dies, Judi Dench, \Und, RZ:agency boss, T:Tomorrow Never Dies, D:Spottiswoode," P:Wilson, Barbara Broccolli", SU:, col," Advt, Actn", aw, , W(Bruce Feirstein) C(Roger? Elswit) M(david Arnold) Ser(Bond; 22) 
 ShM10, T:Last Days of Planet Earth, Hiroshi Fujioka, \Und, RU:, T:Last Days of Planet Earth, D:Moritani, PN:, St:Toho, col, ScFi, aw, T(1999), 
 ABr2, T:Modern Romance, Super Dave Osborne, \Und, R:sporting goods salesman, T:Modern Romance, D:A.Brooks, PN:, SU:, prc, Ctxx, aw, lc," R(R) W(A.Brooks, Monica Johnson) "
 MRs1, T:The Seventh Victim, Hugh Beaumont, \Und, RU:, T:The Seventh Victim, D:Robson, P:Val~Lewton, St:RKO, bnw, Susp, aw," Greenwich village, NY"," W(Dewitt Bodeen, Charles ONeal) "
 AEG70, T:The Eddie Cantor Story, Will Rogers jr., \Und," R:entertainer ""Will Rogers""", T:The Eddie Cantor Story, D:A.E.Green, PN:Sidney Skolsky, St:Warners, \Tcol," BioP,Musc", H," theater, NYC, NY", M(Ray Heindorf) 
 CAm30, T:A Couch in New York, Juliette Binoche, \Und," R:dancer, trades apartment for apartment in NY ""Beatrice""", T:A Couch in New York, D:Akerman, PU:, SU:, prc, Romt, ," NYC, NY; Paris France", 
 JDh5, TZ:Babes in Toyland, Henry Calvin, \Und," RN:""Oliver Hardy""", Tm:Babes in Toyland, D:Donohue, PN:Disney, St:Disney, \Tcol, Fant, H, lc, M(George Bruns; AAN) 
 LiA10, T:This Sporting Life, Miriam Brickman, \Und, RU:, T:This Sporting Life, D:L.Anderson, PN:Karel Reisz, St:Rank, bnw, Dram, H**, England, C(Denys Coop) 
 VCy10, T:The Inheritance, Jozef Kroner, \Und, RU:, T:The Inheritance, D:Chytilova, PN:Jiri Jezek, St:Space Film, colc, Comd, aw," village, Moravia; T(1989)", Alt(T:Dedictvi aneb Kurvahosigutntag) Lang(\Cz) 
 MB6, T:High Anxiety, Ron Carey, \Vic, RZ:murdered psychiatrist , T:High Anxiety, D:Mel~Brooks, P:Mel~Brooks, St:Fox, \DeLuxe, Comd, ," hospital, CA; S.F., CA", R(PG) 
 H10, T:Downhill, Jerrold Robertshaw, \Und, RU:, T:Downhill, D:Hitchcock, P:Balcon," St:Islington; Gainsborough, SD:Wardour", sbw, Susp, , ," W(Eliot Stannard) W(Ivor Novello, Constance Collier) C(Baron Ventimiglia) Er(W)) "
 DrH10, T:One of Our Spies is Missing, James Doohan, \Und, RU:, T:One of Our Spies is Missing, D:Hallenbeck, PN:Boris Ingster, St:MGM, col, Actn, aw, lc," Ser(Solo, 3) Nt(Based on `A Man from U.N.C.L.E.') "
 PaH61, T:Girls on the Loose, Barbara Bostock, \Und," R:robber, singer", T:Girls on the Loose, D:Henreid," PN:Harry Rybnich, Richard Kay", St:Universal, bnw, CnR, ," S.F., CA", 
 IrP19, T:and Now Tomorrow, Barry Sullivan, \Und, RZ:cad fiancee, T:and Now Tomorrow, D:Pichel, P:Kohlmar, St:Paramount, bnw, Romt, H*, lc," W(Frank partos, Raymond Chandler) "
 NiR20, T:Bad Timing, Theresa Russel, \Und, R:psychiatric patient, T:Bad Timing, D:Roeg, PN:, SU:, prc, Ctxx, aw, lc, Er(1979?) 
 ToSl, T:The Hunger, Cliff deYoung, \Und, R:boyfriend
 RoP5, T:Rosemary's Baby, William Castle, \Cam, R:cameo, T:Rosemary's Baby, D:Polanski, PN:William Castle, St:Paramount, \Tcol, Horr, ," Manhattan, NY", W(Polanski; AAN) R(R) B(Ira Levin) 
 Mfe40, T:Tales of Ordinary Madness, Ben Gazzara, \Und," R:bum, artist"
 PVh20, T:Basic Instinct, Dorithy Malone, \Cam, RU:, T:Basic Instinct, D:P.Verhoeven, PN:Shep Morgan, St:Tristar, col," Romt,Actn", aw, lc, R(R) M(Jerry Goldsmith) C(DeBont) W(Eszterhas) Inc(85M) 
 TGt10, T:Gadjo Dilo, Romai Duris, \Und," R:youg Parisian, on quest ""Stephane"""
 SRi5, T:The Evil Dead, s a, \Und, R:Mesapotamian demon, T:The Evil Dead, D:Raimi, PN:," St:, SD:Palace", prc, Horr, aw," csd, USA", B(St.King) 
 GrN10, T:Selena, Seidea Lopez, \Und, RU:, T:Selena, D:Nava, PN:Robert Katz, S:Warners, col, BioP, , TX , M(David Grusin) Seen(30Jul1997)
 JLo23, TZ:A Doll's House, Trevor Howard, \Und, RU:, T:A Doll's House, D:Losey, PN:, SU:, prc, CTxx, aw, lc, B(Henrik Ibsen) 
 RDo28, T:Cadillac Man, Elaine Strich, \Und, R:recent widow, T:Cadillac Man, D:Donaldson, PN:, SU:, col, Comd, ," Queens, NY", 
 TiG15, TZ:Time Bandits, Ralph Richardson, \Und, RU:
 CBu10, T:Curiosity Kills, s a, \Und, R:suspect neighbor, T:Curiosity Kills, D:Bucksey, PN:, St:USA, col, Susp, ," LA, CA "
 \Grp, group or band
 OW6, T:Macbeth, Robert Coote, \Und, RU:, T:Macbeth, D:Welles, P:Welles, St:Republic, bnw, Dram, H*, Scotland, B(Shakespeare) 
 RSB5, T:Jack the Ripper, John LeMesurier, \Und, RU:, T:Jack the Ripper, D:R.S.Baker," P:R.S.Baker, Monte Nerman", St:MidCentury, bnw, Horr, H," London, England"," C(R.S.Baker, Monty Berman) "
 WCr10, T:Swamp Thing, Nicholas Worth, \Und," RN:""Brung""", T:Swamp Thing, D:W.Craven, PN:Benjamin Melniker Michael Uslan, SU:, , Horr, RE***, , R(PG) W(Craven) 
 HvH12, T:Triumph, Maggie Pierce, \Und, R:young wife, T:Triumph, D:Hart, P:Hitchcock," St:Shamley, CBS", bnw, Susp, , India, TV(14Dec1964) Le(1h) 
 BLe4, TZ:The Natural, Richard Farnsworth, \Und, RU:, Tm:The Natural, D:B.Levinson, PN:, SU:, prc, CTxx, aw, lc," R(PG) W(Towne, Phil Dusenberry) C(Deschanel) "
 INw30, T:The Silk Petticoat, s a, \Und," R:first wife, tortured, insane", T:The Silk Petticoat, D:Newland, P:Hitchcock," St:Shamley,NBC"," bnw,TV", Susp, aw, , TV(2Jan1962) Le(30m) 
 ArH204, T:The Americanization of Emily, s a, \Und," R:British love ""Emily""", T:The Americanization of Emily, D:Hiller, PN:, SU:, prc, Dram, aw, Great Britain; T(1944), B(Bill~Huie) W(Ransohoff) 
 AKj11, T:Captive Audience, Ed Nelson, \Und, R:writer, T:Captive Audience, D:Kjellin, P:Hitchcock," St:Shamley, CBS"," bnw,TV", Susp, , , TV(18Oct1962) Le(1h) 
 DSk49, T:Magnificent Obsession, Sara Shane, \Und, RU:, T:Magnificent Obsession, D:Sirk, P:Hunter, St:Universal, \Tcol, Romt, H**, lc, 
 W38, T:Woman Trap, Hal Skelly, \Und," RZ:crooked brother, suicide", T:Woman Trap, D:Wellman, PN:, SU:, prc, Dram, H-, lc, Nt(P\ne Selznick) 
 DS39, T:Marathon, Paul Koslo, \Und, RU:
 TRs4, T:A Taste of Honey, Paul Danwuah, \Und, RU:, T:A Taste of Honey, D:T.Richardson, P:T.Richardson, St:British Lion, bnw, Dram, H***," Manchester, UK", B(Shelagh Delaney) C(Walter Lassally) M(John Addison)
 MPr10, TZ:Doctor Detroit, Donna Dixon, \Und, RU:, Tm:Doctor Detroit, D:M.Pressman, PN:, SU:, prc, Comd, CG*, lc, R(R) 
 MBu10, TZ:Exterminator 2, Robert Ginty, \Und, RU:, Tm:Exterminator 2, D:Buntzman, PN:, St:Cannon, TVC col, Horr, , , R(R) 
 IG3, T:A View to a Kill, Lois Maxwell, \Und," R:secretary ""Miss Moneypenny""", T:A View to A Kill, D:Glen, P:Cubby, St:MGM/U.A., col, Advt, ," S.F., CA", Ser(Bond; 16) VT() Inc(50M) 
 MaN40, T:Dady Long-Legs, Mahlon Hamilton, \Und, R:millionaire, T:Dady Long-Legs, D:Neilan, PN:, SU:, bnw, Romt, ," school, MA", B(Jean Webster) 
 JR33, T:La Nuit du Carrefour, P.Renoir, \Und, RU:, T:La Nuit du Carrefour, J.Renoir, PN:, SU:, prc, Ctxx, aw, lc, 
 ADw17, T:Robin Hood, Enid Bennett, \Und," R:maid ""Marian""", T:Robin Hood, D:Dwan, P:Fairbanks~sr, SU:, bws, Advt, H**, England," V(Wilfred Buckland, Anton~Grot) "
 TRs32, T:The Phantom of the Opera, Adam Storke, \Und, R:wimpy pretty count, T:The Phantom of the Opera, D:T.Richardson, P:Scherek, St:NBC, \CFcol, Horr, , , W(Arthur Knight) B(Gaston Leroux) 
 SW30, T:Heartbeat, Henry Stephenson, \Und, RU:, T:Heartbeat, D:S.Wood," PN:Robert Hakim, Raymond Hakim", St:RKO, bnw, Susp, H," Paris, France", R(R) 
 DL6, T:Oliver Twist, Diana Dors, \Und, RU:, T:Oliver Twist, D:Lean, PN:, SU:, prc, Ctxx, aw, lc, B(Charles Dickens) 
 xRi10, T:Madame San G\^ene, Albert Dieudonne, \Und," R:emperor ""Napoleon""", T:Madame San G\^ene, D:Richebe, PN:, SU:, prc, Ctxx, aw, lc, 
 FB42, T:The Big City, Eddie Quinlan, \Und, RU:, T:The Big City, D:Borzage, PN:Norman Krasna, St:MGM, bnw, Dram, H*, ," W(Dore Schary, Hugo Butler) "
 BGr10, TZ:Wilma, Jason Bernhard, \Und, RU:, Tm:Wilma, D:Greenspan, PN:, SU:, prc, CTxx, aw, lc, W(Bud Greenspan) Er(19xx?) 
 THy14, T:Safe, Jullianne Moore, \Und, R:allergy victim, T:Safe, D:Haynes, PN:, SU:, prc, Ctxx, aw, lc, 
 LMa35, T:May Fools, Paulette Dubost, \Und," R:to be buried ""Mm.Vieuzac""", T:May Fools, D:Malle, PN:," St:Novelle editions, SD:Orion", , Comd, ," csd, France", W(Carriere?) 
 CDu10, T:Watermelon Woman, s a, \Und," R:rich white woman, lesbian lover", T:Watermelon Woman,,| , 1996, D:Dunye, PU:, SU:, prc, Ctxx, , , ER(19xx)
 NF27, TZ:The Sign of Zorro, Gene Sheldon, \Und, RU:, T:The Sign of Zorro, D:N.Foster, PN:, SU:, bnw, Dram, aw, lc, R(PG) 
 MLa10, T:Pet Sematary, Stephen King, \Und, R:minister, T:Pet Sematary, D:Lambert, PN:Richard P. Rubenstein, St:Paramount, \Tcol, Horr, ," csd, ME", B(St.King) W(St.King) R(R) Seen(25May1990) 
 RCo30, T:The Pit and the Pendulum, John Kerr, \Und," RZ:girl's brother, to be driven mad", T:The Pit and the Pendulum, D:Corman, P:Corman, St:AIP, Pathecol, Horr, H*, , B(Edgar Allan Poe) 
 PHt11, T:Gold, Tony Beckley, \Und, RU:, T:Gold, D:Hunt, PN:Michael Klinger, St:Hemdale, \Tcol, Advt, H**," mine, South africa"," B(Wilbur Smith) C(ousama Rawi) M(Elmer Bernstein, Don Black; AAN) VT(N:JB3,JB1,JB4) "
 QTa1, T:Reservoir Dogs, Steven Wright, \Und, R:disk jockey on radio KBilly, T:Reservoir Dogs, D:Tarantino, PN:, S:Miramax, col, CnR, aw, warehouse, W(Tarantino) 
 StH3, T:Among the Living, Albert Dekker, \Und, R:sinister, T:Among the Living, D:Heisler, PU:, SU:, prc, Horr, classic, lc, 
 POC26, T:Dancing at Lughnasa, Al Karth, \Und, RS:married lover, T:Dancing at Lughnasa, D:OConnor, PU:, SU:, prc, Ctxx, ," Ireland,; T(1936)", B(Brian Fiel)
 DWG49, T:The Battle at Elderbush Gulch, W.Christie Miller, \Und, RU:, T:The Battle at Elderbush Gulch, D:Griffith, PN:, St:Biograph, bws, West, , West, C(G.W. Bitzer) Le(13m) 
 IS10, T:Yanks, William Devane, \Und, R:GI in England, T:Yanks, D:Schlesinger, PN:Joe Lanni, St:U.A., \Tcol, Romt, H**," town, England; T(1944)", E(J.Clark) 
 GBS42, T:The Vanishing American, Malcom mcGregor, \Und, RU:, T:The Vanishing American, D:Seitz, PN:, St:Paramount, bws, Docu, aw, West, B(Zane Grey) 
 AWw10, T:The Matrix, CarrieAnne Moss, \Und, RU:, T:The Matrix, D:Wachowski, PU:, SU:, prc, ScFi, , , CoD(Larry Wachowski) 
 LeG36, T:The Mummy's Curse, Holmes Herbert, \Und, RU:, T:The Mummy's Curse, D:Goodwins, PN:Oliver Drake, St:Universal, bnw, Comd, H, , , Ser(Mummy;5) Nt(Most nauseous)
 AlP50, T:Blind Man's Bluff, Barbara Greene, \Und, RU:, Tm:Blind Man's Bluff, D:Albert~Parker, PN:, St:British Fox, bnw, Dram, H, lc, 
 JoL4, T:Sayonara, Martha Scott, \Und, RU:, T:Sayonara, D:J.Logan, PN:William Goetz," St:Goetz, Pennebaker", \TR, Romt," H**, AAN, AAN dir", Japan, C(Ellsworth Fredericks; AAN) W(Paul Osborn; AAN) 
 MOp14, T:The Exile, Nigel Bruce, \Und, RU:, T:The Exile, D:Max~Ophuls, P:Fairbanks~jr, SU:, prc, Dram, aw, England; T(1700), W(Fairbanks~jr) C(Franz Planer) 
 RoL59, TZ:Fallen Angel, Richard Masur, \Und, RU:, Tm:Fallen Angel, D:Lewis, PN:, SU:, prc, CTxx, aw, lc, R(19xx) W(Lew Hunter) Er(19xx?) 
 MaM2, T:Out Cold, John Lithgow, \Und, R:suspect, T:Out Cold, D:Mobray, PN:, SU:, prc, Ctxx, aw, lc, 
 InB20, T:Ansiktet, Bengt Ekerod, \Und, RU:, T:Ansiktet, D:I.Bergman, PN:, St:Svensk Filmindustri, bnw, Fant, H***," csd, Sweden; T(1810)", W(I.Bergman) C(Gunnar Fischer) Alt(T:The Face; \GB) Alt(T:The Magician; USA)
 MkT10, T:Mr.~Jones, s a, \Und, R:judge, T:Mr.~Jones, D:Trayger," PN:Alan Greisman, Devra Greenfield", St:Tristar, col, Romt, aw, lc, 
 RCj20," T:Guyana, Cult of the Dammned", Hugo Stiglitz, \Und, RU:," T:Guyana, Cult of the Dammned", D:Cardona, P:Cardona, St:Universal, prc, Horr, aw, Guyana, R(R) 
 LwT33, TZ:Cujo, Ed Lauter, \Und, RU:, T:Cujo, D:Teague, PN:, St:Sunn Classic, \CFcol, Horr, (H)," car, Highway, US", R(R) B(St.King) 
 RWh20, TZ:Champagne for Caesar, Vincent Price, \Und, RU:, Tm:Champagne for Caesar, D:Whorf, PN:George Moskov, St:Cardinal, bnw, Comd, H*, lc, R(G) 
 RiR15, TZ:Bad Boys, Jim Moody, \Und, RU:, Tm:Bad Boys, D:Rick~Rosenthal, PN:, SU:, prc, CTxx, aw, lc, R(R) 
 BrW13, T:Casino Royale, Linda Christian, \Und, R:Bond's girl, T:Casino Royale, D:Windust, PU:, SU:, TV, Advt, ," casino, Monte Carlo", B(I.Fleming)
 MNe22, T:Into the West, John Kavanagh, \Und," RN:""Hartnett""", T:Into the West, D:Newell," PN:Jonathan Cavendish, Tim Palmer", St:Miramax, col, Romt, aw, Ireland, W(Jim Sheridan) B(Michael Pearce) R(PG) 
 TB34, T:The Big City, Marceline Day, \Und, RU:, T:The Big City, D:T.Browning, PN:, St:MGM, bws, CtxxDram, H, , W(T.Browning) 
 LPe3," T:Goodbye, Columbus", Jack Klugman, \Und, RU:," T:Goodbye, Columbus", D:Peerce, PN:, SU:, prc, Romt, aw, lc, 
 RHr10, T:Gladiator, James Marshall, \Und, R:boxer, T:Gladiator, D:Herrington, PN:, SU:, prc, Ctxx, aw," boxing rinks, US", 
 ASi10, T:Do or Die, Stephanie Schick, \Und, R:breasty, T:Do or Die, D:Sitaris, PN:Arlene Sitaris, SU:, col, Porn, aw, lc, 
 RSt110, T:Never Again, Warren Stevens, \Und, R:boyfriend, T:Never Again, D:R.Stevens, P:Hitchcock," St:Shamley,CBS"," bnw,TV", Susp, , , TV(22Apr1956) Le(30m) 
